rider_slug,riding_hand,total_records,career_qual_pct,career_rides,career_attempts,career_avg_score,career_high_score
Michael+Hough,,92,4.65,4,86,70.5,78.0
Michael+Humphrey,,4,0.0,0,2,0.0,0.0
Michael+Johnston,,2,0.0,0,2,0.0,0.0
Michael+Lane,Right,893,31.54,264,837,83.9,91.0
Michael+LeLeux,,2,0.0,0,1,0.0,0.0
Michael+Leleux,,2,0.0,0,1,0.0,0.0
Michael+Miller,,13,15.38,2,13,64.5,75.0
Michael+Riggs,Right,535,32.82,149,454,80.13,89.5
Michael+Seng,,16,6.25,1,16,73.0,73.0
Michael+Shearer,,5,0.0,0,2,0.0,0.0
Michael+Stanley,,9,0.0,0,8,0.0,0.0
Michael+Wanner,,4,25.0,1,4,76.0,76.0
Michael+Weaver,,21,0.0,0,18,0.0,0.0
Michael+Willingham,,1,100.0,1,1,71.0,71.0
Micheal+Ostashek,Right,251,17.15,41,239,80.87,89.5
Mickey+Andrews,,149,19.29,27,140,84.17,91.0
Mickey+Page,,2,0.0,0,2,0.0,0.0
Mickey+Profumo,,1,0.0,0,1,0.0,0.0
Mickey+Stevens,Right,144,4.48,6,134,82.25,85.0
Miguel+Molina,,1,0.0,0,1,0.0,0.0
Miguel+Nascimento,,1,0.0,0,1,0.0,0.0
Miguel+de+Jesus,Left,78,34.29,24,70,83.2,88.75
Mike+Boswell,,23,15.0,3,20,70.33,73.0
Mike+Chaffin,,154,29.08,41,141,75.66,88.0
Mike+Christmas,,42,23.68,9,38,75.33,81.0
Mike+Davis,,7,0.0,0,7,0.0,0.0
Mike+Denoyer,,3,0.0,0,3,0.0,0.0
Mike+Drake,Right,70,26.98,17,63,74.12,86.0
Mike+Gill,,21,25.0,5,20,79.6,87.5
